rating,stock,price,writer,genre,published_by,plot_summary,book_title
4.7,In Stock.,15.99,Deborah Harkness,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Bibliopolium LLC,"In *Shadow of Night*, Diana and Matthew race through history to find a powerful witch and a book of spells, while their enemies close in, threatening to tear them apart.","Shadow of Night (All Souls Trilogy, Bk 2) (All Souls Series)"
4.8,In Stock.,2.67,"by School Zone (Author), Joan Hoffman (Author)","[""Books"",""Children's Books"",""Activities, Crafts & Games""]",Amazon,"These School Zone flashcards help young children aged 4-6 learn numbers 0-25 through engaging activities like counting, numerical order, addition, and subtraction.","School Zone - Numbers 0-25 Flash Cards - Ages 4 to 6, Preschool, Kindergarten, Math, Addition, Subtraction, Numerical Order, Counting, and More"
4.8,In Stock.,21.49,Diana Gabaldon,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Amazon,"Claire Randall travels back in time to 18th-century Scotland to find her lost love, Jamie Fraser, and becomes entangled in the Jacobite rising.",Dragonfly in Amber (Outlander)
4.8,,,Edith Eger,"[""Books"",""History"",""World""]",Amazon,"Edith Eger's *The Choice* shares her journey from Holocaust survivor to acclaimed psychologist, emphasizing that freedom resides in our internal responses to adversity, not in our external circumstances.",The Choice: Embrace the Possible
4.7,,,"Neil Gaiman (Author, Narrator), HarperAudio (Publisher)","[""Books"",""Literature & Fiction"",""Mythology & Folk Tales"",""Mythology""]",Amazon,"Neil Gaiman masterfully retells the epic and often brutal tales of Norse gods, giants, and the impending Ragnarok in a way that is both accessible and deeply engaging.",Norse Mythology
4.6,In Stock.,7.56,Kristin Hannah,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Amazon,"In *The Great Alone*, a family's move to remote Alaska to escape the past unravels amidst isolation, abuse, and the harsh beauty of nature.",Winter Garden
4.4,,,"Christy Lefteri (Author), Art Malik (Narrator), Random House Audio (Publisher) & 0 more","[""Books"",""Literature & Fiction"",""Genre Fiction"",""Historical"",""Cultural Heritage""]",Amazon,"Christy Lefteri's ""The Beekeeper of Aleppo"" is a poignant novel about Nuri, a Syrian refugee who, while escaping the war, must also confront the profound trauma that threatens to shatter his relationship with his wife, Afra.",The Beekeeper of Aleppo: A Novel
4.7,In Stock.,14.35,John Carreyrou,"[""Books"",""Business & Money"",""Finance""]",Jenson Books Inc,"John Carreyrou's *Bad Blood* chronicles the dramatic rise and catastrophic fall of Theranos, a biotech startup whose charismatic founder, Elizabeth Holmes, deceived investors, partners, and the public with a revolutionary blood-testing technology that never actually worked.",Bad Blood: Secrets and Lies in a Silicon Valley Startup
4.7,,,Heather Morris,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Amazon,"In Nazi-occupied Auschwitz, a Jewish tattooist named Lale falls in love with a fellow prisoner, Gita, and risks his life to protect her and survive the horrors of the camp.",The Tattooist of Auschwitz: Based on an incredible true story
4.7,,,"Ta-Nehisi Coates (Author, Narrator), Random House Audio (Publisher)","[""Books"",""Politics & Social Sciences"",""Sociology"",""Race Relations"",""Discrimination & Racism""]",Amazon,"In this epistolary memoir, Ta-Nehisi Coates shares a profound meditation on race, history, and the systemic violence faced by Black Americans with his teenage son.",Between the World and Me
4.7,,,"Queen Afua (Author), Camille Mazant (Narrator), Echo Point Books and Media, LLC (Publisher) & 0 more","[""Books"",""Health, Fitness & Dieting"",""Alternative Medicine"",""Meditation""]",Amazon,"Sacred Woman by Queen Afua is a guide to reclaiming and healing the divine feminine through ancient wisdom and practices for the body, mind, and spirit.","Sacred Woman: A Guide to Healing the Feminine Body, Mind, and Spirit"
4.7,,,Neil de Grasse Tyson,"[""Books"",""History"",""Americas""]",Amazon,"Neil deGrasse Tyson offers a rapid yet illuminating journey through the cosmos, exploring fundamental astrophysical concepts for those seeking a quick understanding of the universe.",Astrophysics for People in a Hurry (Astrophysics for People in a Hurry Series)
4.7,In Stock.,17.83,Mrs Hinch,"[""Books"",""Crafts, Hobbies & Home"",""Home Improvement & Design""]",Fast Same Day Products,Mrs. Hinch shares her practical cleaning tips and positive mindset techniques to help readers create a clean and calm home environment that improves their well-being.,Hinch Yourself Happy: All The Best Cleaning Tips To Shine Your Sink And Soothe Your Soul
4.7,,,"John Boyne (Author), Michael Maloney (Narrator), Listening Library (Publisher) & 0 more","[""Books"",""Teen & Young Adult"",""Social Issues"",""Family""]",Amazon,A naive young boy's friendship with another boy behind a forbidden fence leads to tragic consequences during the Holocaust.,The Boy in the Striped Pajamas
4.7,In Stock.,7.19,Stephen Chbosky,"[""Books"",""Politics & Social Sciences"",""Politics & Government""]",-OnTimeBooks-,"Charlie, an introverted freshman, navigates his turbulent first year of high school with the help of two charismatic seniors who introduce him to new experiences, friendships, and the complexities of love and loss.",The Perks of Being a Wallflower
4.9,In Stock.,23.88,J.K. Rowling,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",Goodwill Michiana,"This lavishly illustrated edition brings to life Harry Potter's magical first year at Hogwarts, where he discovers his wizarding heritage and confronts the dark wizard Voldemort who seeks the legendary Sorcerer's Stone.","Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)"
4.5,,,"Martha Wells (Author), Kevin R. Free (Narrator), Recorded Books (Publisher) & 0 more","[""Books"",""Science Fiction & Fantasy"",""Science Fiction"",""Adventure""]",Amazon,"A socially awkward security android secretly hacks its corporate overseers to enjoy its downtime reading fiction, until a mission forces it to confront its past and the dangers of its programming.",All Systems Red
4.2,,,Teresa Driscoll,"[""Books"",""Literature & Fiction"",""World Literature""]",Amazon,"In ""Her Perfect Family,"" a woman's idyllic life unravels as secrets about her husband and son surface, forcing her to confront a dark past and protect her family at any cost.",Her Perfect Family
4.8,In Stock.,15.29,Raina Telgemeier,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",Murfbooks,Raina Telgemeier's *Guts* is a relatable graphic novel about overcoming anxiety and stomach issues through self-acceptance and seeking help.,Guts: A Graphic Novel (Library Edition)
4.7,Usually ships within 7 days.,21.06,Andy Weir,"[""Books"",""Literature & Fiction"",""Action & Adventure""]",Amazon,"Stranded alone in space with amnesia, an astronaut must piece together his mission to save Earth from an alien life form that is slowly consuming the sun.",Project Hail Mary: A Novel (Random House Large Print)
4.7,Only 1 left in stock - order soon.,15.2,Bill O'ReillyMartin Dugard,"[""Books"",""Biographies & Memoirs"",""Leaders & Notable People""]",AlamobazaarusaAlamobazaarusaJenson Books Inc,"Bill O'Reilly and Martin Dugard recount the dramatic events leading up to and following Abraham Lincoln's assassination, highlighting how this single act profoundly reshaped American history.",Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series)
4.4,In Stock.,10.22,Gillian Flynn,"[""Books"",""Mystery, Thriller & Suspense"",""Mystery""]",VMG Books & Media,"A troubled journalist returns to her Southern hometown to cover the murders of two young girls, confronting her own dark past and complex family dynamics in the process.",Sharp Objects
4.6,In Stock.,13.53,Yaa Gyasi,"[""Books"",""Literature & Fiction"",""United States""]",MjTreasuresCT,"Yaa Gyasi's *Homegoing* traces the parallel lives of two half-sisters in Ghana and their descendants through centuries of history, revealing the enduring impact of slavery and colonialism across generations.",Homegoing
4.8,,,Phil Knight,"[""Books"",""Sports & Outdoors"",""Biographies""]",Amazon,"Phil Knight's memoir, ""Shoe Dog,"" chronicles his audacious, often chaotic, and ultimately triumphant journey of building Nike from a small import business into a global athletic empire.",Shoe Dog: A Memoir by the Creator of Nike
4.7,In Stock.,13,Tara Westover,"[""Books"",""Biographies & Memoirs"",""Community & Culture""]",-OnTimeBooks-,Tara Westover recounts her extraordinary journey from growing up in a survivalist family in rural Idaho with no formal education to earning a PhD from Cambridge University.,Educated: A Memoir
4.5,In Stock.,11.28,Michael Connelly,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",-OnTimeBooks-,"In ""Fair Warning,"" investigative journalist Jack McEvoy is drawn into a dangerous quest to uncover the truth behind a series of murders linked to a shadowy private investigator.","Fair Warning (Jack McEvoy, 3)"
4.5,Only 11 left in stock (more on the way).,12.49,Kathryn Hughes,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Leonard Simmons,"""The Letter"" by Kathryn Hughes is a poignant exploration of a woman's lifelong friendship and the secrets she uncovers through a series of poignant letters, revealing the complexities of love, loss, and societal constraints.",The Letter
4.6,In Stock.,15,James PattersonBill Clinton,"[""Books"",""Literature & Fiction"",""Action & Adventure""]",EB-BOOKS LLC,"In this thriller, former President Bill Clinton and James Patterson delve into the dangerous life of the President's daughter, who faces a kidnapping and a race against time to save her.",The President's Daughter: A Thriller
4.5,In Stock.,19.88,V. E. Schwab,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Amazon,"In this special edition of V.E. Schwab's novel, Addie LaRue makes a Faustian bargain for immortality, forever forgotten by everyone she meets, until after 300 years, she meets someone who remembers her.","The Invisible Life of Addie LaRue, Special Edition"
4.8,In Stock.,9.18,Ruth Bader Ginsburg,"[""Books"",""Politics & Social Sciences"",""Politics & Government""]",Mostly Tomatos,"In ""My Own Words,"" Justice Ruth Bader Ginsburg offers a deeply personal and insightful collection of her speeches, writings, and interviews, revealing the",My Own Words
4.6,,,"Yaa Gyasi (Author), Dominic Hoffman (Narrator), Random House Audio (Publisher) & 0 more","[""Books"",""Literature & Fiction"",""United States"",""Black & African American"",""Historical""]",Amazon,"Yaa Gyasi's *Homegoing* traces the ancestral legacies of two Ghanaian sisters, one sold into slavery and the other married to a British slaver, through generations of descendants grappling with the lasting impact of this separation.",Homegoing: A Novel
4.7,In Stock.,8.99,Monica Sweeney,"[""Books"",""Humor & Entertainment"",""Humor""]",Goodwill of North Georgia,"This journal offers a cathartic and humorous space to release negativity and cultivate happiness by confronting and discarding life's ""bullsh*t.""",Let That Sh*t Go: A Journal for Leaving Your Bullsh*t Behind and Creating a Happy Life (Zen as F*ck Journals)
4.8,Only 18 left in stock - order soon.,21.9,Amy Shields,"[""Books"",""Children's Books"",""Education & Reference""]",Better World Books: West,"This book answers common ""why"" questions young children have about the world with colorful pictures and simple explanations.",National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books)
4.5,In Stock.,9.99,Agatha Christie,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",California Book Bag,"Ten strangers are lured to an isolated island and are systematically murdered one by one, following the pattern of a nursery rhyme.",And Then There Were None (Agatha Christie Mysteries Collection (Paperback))
4.4,,,"Ann Patchett (Author), Tom Hanks (Narrator), HarperAudio (Publisher) & 0 more","[""Books"",""Literature & Fiction"",""Genre Fiction"",""Coming of Age""]",Amazon,"Tom Hanks narrates Ann Patchett's ""The Dutch House,"" a novel about a brother and sister's lifelong connection to a magnificent, yet ultimately lost, mansion.",The Dutch House: A Novel
4.6,,,"Julia Quinn (Author), Rosalyn Landor (Narrator), Recorded Books (Publisher) & 0 more","[""Books"",""Literature & Fiction"",""Genre Fiction"",""Historical""]",Amazon,"In Julia Quinn's ""It's in His Kiss,"" a young woman navigates societal expectations and finds unexpected love with a man who doesn't fit her initial expectations, discovering that sometimes what you need is right in front of you.",It's in His Kiss
4.4,,,Victor Methos,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",Amazon,"A former prosecutor, haunted by her husband's murder, uncovers a deep conspiracy while seeking justice in the rugged landscape of the desert plains.",A Killer's Wife (Desert Plains Book 1)
4.8,In Stock.,4.98,Rod Campbell,"[""Books"",""Children's Books"",""Animals""]",Amazon,"Dear Zoo is a lift-the-flap book where a child writes to the zoo asking for a pet, and the zoo sends various animals before finally sending the perfect one.",Dear Zoo: A Lift-the-Flap Book
4.8,In Stock.,11.2,Kathryn Stockett,"[""Books"",""Literature & Fiction"",""United States""]",-OnTimeBooks-,"In 1960s Jackson, Mississippi, a young white woman's desire to write about the experiences of Black maids sparks a movement that challenges racial and social injustices.",The Help
4.3,In Stock.,9.98,Emily Henry,"[""Books"",""Literature & Fiction"",""Women's Fiction""]",LOT 27,Two best friends who take annual summer vacations together finally confront their unspoken feelings for each other during their last trip.,People We Meet on Vacation
4.5,In Stock.,14.67,Ken Follett,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Dio Evolutions,"In Ken Follett's ""Fall of Giants,"" the lives of five interconnected families from England, Wales, Russia, Germany, and America intertwine and are irrevocably shaped by the tumultuous events of World War I and the societal shifts it brings.",Fall of Giants: Book One of the Century Trilogy
4.8,,,"Laura Clery (Author, Narrator), Simon & Schuster Audio (Publisher)","[""Books"",""Biographies & Memoirs"",""Leaders & Notable People"",""Rich & Famous""]",Amazon,"Laura Clery's collection of essays in ""Idiot"" offers a candid and humorous exploration of her relatable experiences with anxiety, self-doubt, and navigating life's absurdities.",Idiot: Essays
4.8,In Stock.,7.19,Harper Lee,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Jenson Books Inc.,"In the prejudiced American South, a young girl learns about justice and compassion through her father's defense of a wrongly accused Black man.",To Kill a Mockingbird
4.9,In Stock.,13.12,Rick Riordan,"[""Books"",""Children's Books"",""Fairy Tales, Folk Tales & Myths""]",SellingBooksForSchool,"In the epic conclusion to the *Trials of Apollo* series, Apollo, now a mortal, must face his father Zeus in a final battle within the terrifying Tower of Nero to save the remaining demigods from destruction.","The Tower of Nero (Trials of Apollo, The Book Five) (Trials of Apollo, 5)"
4.3,,,"Lee Child (Author), Dick Hill (Narrator), Random House Audio (Publisher) & 0 more","[""Books"",""Literature & Fiction"",""Action & Adventure"",""Mystery, Thriller & Suspense"",""Crime""]",Amazon,"In *Night School*, Jack Reacher uncovers a shadowy conspiracy during a tense, high-stakes mission, making him a target of powerful and dangerous enemies.","Night School: Jack Reacher, Book 21"
4.9,In Stock.,7.66,Sherri Duskey RinkerTom Lichtenheld,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]",-OnTimeBooks-,This board book follows the journey of various construction vehicles as they wind down their busy day and prepare for sleep.,"Goodnight, Goodnight Construction Site (Board Book for Toddlers, Children's Board Book)"
4.6,,,"Rachel Hollis (Author, Narrator), HarperCollins Leadership (Publisher)","[""Books"",""Business & Money"",""Business Culture"",""Motivation & Self-Improvement""]",Amazon,"In ""Girl, Stop Apologizing,"" Rachel Hollis offers a straightforward, shame-free guide for women to embrace their aspirations and achieve their goals by shedding self-doubt and societal expectations.","Girl, Stop Apologizing (Audible Exclusive Edition): A Shame-Free Plan for Embracing and Achieving Your Goals"
4.6,Only 1 left in stock - order soon.,8.74,Suzanne Collins,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]",AlamobazaarusaAlamobazaarusaVMG Books & Media,"Katniss Everdeen embraces her role as the Mockingjay, the symbol of rebellion against the tyrannical Capitol, leading the districts in a fight for freedom and a new future.",Mockingjay (The Hunger Games)
4.7,,,"Deborah Harkness (Author), Jennifer Ikeda (Narrator), Penguin Audio (Publisher) & 0 more","[""Books"",""Literature & Fiction"",""Genre Fiction"",""Horror"",""Occult""]",Amazon,"In the gripping conclusion to the All Souls trilogy, Diana Bishop and Matthew Clairmont race against time to rewrite history and save their forbidden love and the magical world from a dangerous conspiracy.","The Book of Life: All Souls, Book 3"
4.8,In Stock.,7.64,E. B. WhiteGarth Williams,"[""Books"",""Literature & Fiction"",""Contemporary""]",HarryBat,"E.B. White's timeless tale, beautifully illustrated by Garth Williams, tells the story of Wilbur the pig and his friendship with Charlotte, a wise spider who saves his life.",Charlotte's Web (Trophy Newbery)
4.8,In Stock.,6.94,Marilyn Sadler,"[""Books"",""Children's Books"",""Literature & Fiction""]",Bay State Book Company,"A young bunny named P.J. discovers that while changing his appearance might seem like the answer to his problems, true happiness comes from accepting himself and his home.",It's Not Easy Being a Bunny (Beginner Books(R))
4.7,,,"Napoleon Hill (Author), Erik Synnestvedt (Narrator), Gildan Media, LLC (Publisher) & 0 more","[""Books"",""Business & Money"",""Business Culture"",""Motivation & Self-Improvement""]",Amazon,"""Think and Grow Rich"" by Napoleon Hill outlines thirteen principles for achieving success and accumulating wealth through the power of thought, desire, and persistence.",Think and Grow Rich
4.5,In Stock.,16.44,Erin Morgenstern,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Jenson Books Inc,"Erin Morgenstern's ""The Night Circus"" is a mesmerizing tale of two young illusionists bound by a magical competition within a mysterious, traveling circus that only appears at night.",The Night Circus
4.2,In Stock.,7.98,J. K. RowlingJack ThorneJohn Tiffany,"[""Books"",""Children's Books"",""Arts, Music & Photography""]",HarryBat,"""Harry Potter and the Cursed Child"" chronicles Harry's son Albus's struggle with his father's legacy and a perilous journey back in time to prevent a catastrophic disruption of history.","Harry Potter and the Cursed Child, Parts One and Two: The Official Playscript of the Original West End Production: The Official Script Book of the Original West End Production"
4.5,In Stock.,13.66,Alka Joshi,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",JW-Wilson,"In 1950s India, a talented henna artist navigates societal expectations and personal desires to build a life for herself in a rapidly changing world.","The Henna Artist: A Novel (The Jaipur Trilogy, 1)"
4.3,,,"Ashley Audrain (Author), Marin Ireland (Narrator), Penguin Audio (Publisher) & 0 more","[""Books"",""Literature & Fiction"",""Genre Fiction"",""Family Life""]",Amazon,**The Push** tells the chilling story of a mother's descent into darkness as she questions her own maternal instincts when faced with her unnerving daughter.,The Push: A Novel
4.5,In Stock.,9.01,Ransom Riggs,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]",Jendy Life,Jacob Portman follows a trail of clues left by his grandfather to a mysterious island where he discovers a hidden home for children with extraordinary abilities and a shadowy threat that hunts them.,Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children)
4.8,In Stock.,8.99,Karen Frazier,"[""Books"",""Religion & Spirituality"",""New Age & Spirituality""]",Amazon,"Karen Frazier's ""Crystals for Beginners"" is a practical guide to understanding and using crystals for their healing and energetic properties.",Crystals for Beginners: The Guide to Get Started with the Healing Power of Crystals
4.7,In Stock.,14.29,Ben Macintyre,"[""Books"",""History"",""Americas""]",Momma's Media,"Ben Macintyre's *The Spy and the Traitor* chronicles the true story of Oleg Gordievsky, a KGB colonel who became the West's most valuable asset during the Cold War, and the British spy who risked everything to extract him from Moscow.",The Spy and the Traitor: The Greatest Espionage Story of the Cold War
4.7,In Stock.,18.99,Erik Larson,"[""Books"",""Biographies & Memoirs"",""Leaders & Notable People""]",honeybees100,"Erik Larson's ""The Splendid and the Vile"" chronicles Winston Churchill's leadership, family life, and the resilience of Londoners during the devastating bombing raids of the Blitz in World War II.","The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz"
4.7,,,"Stephen Chbosky (Author), Noah Galvin (Narrator), Simon & Schuster Audio (Publisher) & 0 more","[""Books"",""Teen & Young Adult"",""Literature & Fiction"",""LGBTQ+""]",Amazon,"""The Perks of Being a Wallflower"" follows Charlie, an introverted freshman navigating the complexities of adolescence, friendship, and trauma as he finds his place in the world.",The Perks of Being a Wallflower
4.7,In Stock.,31.99,James S. A. Corey,"[""Books"",""Literature & Fiction"",""Action & Adventure""]",Watson82,"In the vastness of the solar system, a cynical detective and a ice hauler pilot uncover a conspiracy that threatens to ignite interstellar war.","Leviathan Wakes (10th Anniversary Edition): 10th Anniversary Edition (The Expanse, 1)"
4.8,,,"Samin Nosrat (Author, Narrator), Simon & Schuster Audio (Publisher)","[""Books"",""Cookbooks, Food & Wine"",""Cooking Education & Reference"",""Reference""]",Amazon,"Samin Nosrat's *Salt, Fat, Acid, Heat* demystifies the fundamental elements of good cooking, revealing how understanding and balancing them leads to delicious results.","Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking"
4.9,In Stock.,7.2,Dav Pilkey,"[""Books"",""Children's Books"",""Animals""]",goodwill_ind_of_mid_tn,"In this graphic novel, Dav Pilkey's *Cat Kid Comic Club* introduces an enthusiastic and creative group of frog friends who learn to make their own comics under the guidance of a wise and encouraging Pigeon.",Cat Kid Comic Club: A Graphic Novel (Cat Kid Comic Club #1): From the Creator of Dog Man
4.2,In Stock.,9.33,Sally Rooney,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Martistore,"Connell and Marianne navigate a complex, on-again, off-again relationship through their formative years at Trinity College Dublin and beyond, grappling with class, intimacy, and the ever-shifting dynamics of love.",Normal People: A Novel
4.0,,,"Alex Michaelides (Author), Kobna Holdbrook-Smith (Narrator), Louise Brealey (Narrator), Macmillan Audio (Publisher) & 1 more","[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense"",""Psychological Thrillers""]",Amazon,"At Cambridge, a therapist is drawn into a dangerous game of cat and mouse with a group of enigmatic female students after one of them is murdered, leading him to uncover a sinister truth behind their allure.",The Maidens
4.7,,,"TJ Klune (Author), Daniel Henning (Narrator), Macmillan Audio (Publisher) & 0 more","[""Books"",""LGBTQ+ Books"",""Literature & Fiction"",""Genre Fiction"",""Classics""]",Amazon,"Linus Baker, a caseworker for magical youth, is sent to investigate an orphanage on a mysterious island where he finds himself unexpectedly challenged and transformed by the found family he encounters.",The House in the Cerulean Sea
4.6,,,"Ray Bradbury (Author), Tim Robbins (Narrator), Audible Studios (Publisher) & 0 more","[""Books"",""Literature & Fiction"",""Genre Fiction"",""TV, Movie, Video Game Adaptations""]",Amazon,"In a dystopian future where books are burned and critical thinking is suppressed, a fireman named Guy Montag begins to question his society and seeks knowledge and meaning by embracing forbidden literature.",Fahrenheit 451
4.5,In Stock.,14.99,Catherine Ryan Hyde,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",SC Goodwill,"In ""Seven Perfect Things,"" Catherine Ryan Hyde explores how a young boy's quest to find seven perfect things leads him to discover the profound beauty and unexpected joys hidden within ordinary life.",Seven Perfect Things: A Novel
4.0,In Stock.,16.78,Alex Michaelides,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",gatecitybooks,"A Cambridge psychotherapist's niece is murdered, prompting him to delve into the dark secrets of an all-female student society and its enigmatic leader to find the killer.",The Maidens
4.7,In Stock.,14.99,Ibram X. Kendi,"[""Books"",""History"",""Americas""]",Amazon,"Ibram X. Kendi's *How to Be an Antiracist* argues that instead of being ""not racist,"" individuals must actively embrace anti-racist policies and actions to dismantle racial inequality.",How to Be an Antiracist (Random House Large Print)
4.6,In Stock.,12.26,Margaret Atwood,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Amazon,"In Margaret Atwood's ""The Testaments,"" three women from Gilead and beyond reveal the crumbling secrets and ultimately the downfall of the oppressive theocratic regime through their interwoven narratives.",The Testaments: A Novel (The Handmaid's Tale)
4.6,In Stock.,9.76,William Kent Krueger,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Vivé Liber Books LLC,"In 1932, three orphaned boys escape a brutal Indian boarding school and embark on a journey across the Mississippi River, encountering hardship and kindness as they seek a better life.",This Tender Land: A Novel
4.8,,,Bernard Cornwell,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Amazon,"In the tumultuous aftermath of King Alfred's death, Uhtred of Bebbanburg must navigate betrayal and warfare to secure the future of Wessex and his own legacy.",War Lord: A Novel (Saxon Tales Book 13)
4.7,,,Andrzej Sapkowski,"[""Books"",""Literature & Fiction"",""Short Stories & Anthologies""]",bookoutlet1,"This collection of interconnected short stories introduces Geralt of Rivia, a magically enhanced monster hunter known as a Witcher, as he navigates a complex world of political intrigue, moral ambiguity, and mythical beasts.","The Last Wish: Introducing the Witcher (The Witcher, 1)"
4.2,,,Jean Hanff Korelitz,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",Amazon,"A struggling writer steals his deceased former student's brilliant, unpublished story and becomes a literary sensation, only to be threatened by someone who knows his secret.",The Plot: A Novel
4.5,In Stock.,13.3,Lisa Wingate,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",-OnTimeBooks-,"In 1934, a group of young women in a Louisiana reform school send out a message in a bottle seeking lost family, a plea that resurfaces decades later, connecting a modern-day journalist to their poignant story.",The Book of Lost Friends: A Novel
4.6,In Stock.,10.99,Robert Dugoni,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",gatecitybooks,"A young man with a rare and disfiguring birthmark navigates a life of prejudice and self-discovery, finding love and purpose in unexpected places.",The Extraordinary Life of Sam Hell: A Novel
4.9,In Stock.,16.02,Barack Obama,"[""Books"",""Biographies & Memoirs"",""Leaders & Notable People""]",glenthebookseller,"In *A Promised Land*, Barack Obama offers a deeply personal and comprehensive account of his journey from his early life to the historic election and presidency, exploring the challenges and triumphs of his time in the White House.",A Promised Land (Random House Large Print)
4.4,In Stock.,14.49,Isabel Allende,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Rye Berry Books,"Isabel Allende's novel follows two young exiles from the Spanish Civil War who flee to Chile by boat, building a new life amidst political upheaval and personal loss.",A Long Petal of the Sea: A Novel
4.8,In Stock.,9.99,Diana Gabaldon,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Hippo Books,"In *An Echo in the Bone*, Jamie and Claire are separated by the American Revolution, navigating its brutal realities and dangerous political currents while their family also faces trials and tribulations across time and continents.",An Echo in the Bone: A Novel (Outlander)
4.8,,,"Diana Gabaldon (Author), Davina Porter (Narrator), Recorded Books (Publisher) & 0 more","[""Books"",""Romance"",""Historical"",""Scottish""]",Amazon,"Jamie and Claire are reunited after twenty years apart, only to face new challenges and a journey across the seas to Jamaica as they attempt to rebuild their lives.","Voyager: Outlander, Book 3"
4.7,,,"Howard Zinn (Author), Jeff Zinn (Narrator), HarperAudio (Publisher) & 0 more","[""Books"",""Politics & Social Sciences"",""Politics & Government"",""Ideologies & Doctrines"",""Democracy""]",Amazon,"Howard Zinn's *A People's History of the United States* retells American history from the perspective of marginalized groups, challenging traditional narratives of progress and triumph.",A People's History of the United States
4.5,In Stock.,33.2,John Grisham,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",HPB-Diamond,"In John Grisham's *Sooley*, a struggling former basketball star finds unexpected redemption and a new purpose coaching a disadvantaged high school team in the impoverished South.",Sooley: A Novel
4.6,,,"Jennifer L. Armentrout (Author), Stina Nielsen (Narrator), Brilliance Audio (Publisher) & 0 more","[""Books"",""Romance"",""Paranormal""]",Amazon,"In *The Crown of Gilded Bones*, Poppy navigates a treacherous path of burgeoning power, forced alliances, and the lingering threat of ancient gods as she seeks to secure her kingdom and her love for Hawke.","The Crown of Gilded Bones: Blood and Ash, Book 3"
4.8,In Stock.,3.59,Sandra Boynton,"[""Books"",""Children's Books"",""Early Learning""]",Amazon,"This book is a simple and calming bedtime ritual for children, featuring lovable animal characters getting ready for sleep.",The Going-To-Bed Book
4.6,,,"Elle Kennedy (Author), Christian Fox (Narrator), Lorelei Avalon (Narrator), Audible Studios (Publisher) & 1 more","[""Books"",""Romance"",""Contemporary""]",Amazon,"In Elle Kennedy's ""The Deal,"" a hockey player fakes a relationship with a study buddy to appease his coach, leading to unexpected romance.",The Deal
4.6,,,"Colleen Hoover (Author), Angela Goethals (Narrator), Audible Studios (Publisher) & 0 more","[""Books"",""Romance"",""Contemporary""]",Amazon,"Lily, scarred by her past and yearning for a fresh start, falls for the charming Ryle, only to discover that new beginnings can be terrifyingly familiar.",Hopeless
4.8,In Stock.,7.4,Diana Gabaldon,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",ZBK Books,"In *Voyager*, Claire Randall Fraser navigates her return to 18th-century Scotland to find Jamie Fraser, facing new adventures and dangers as they reunite across time.",Voyager: A Novel (Outlander) (Mass Market Paperback)
4.8,In Stock.,17.63,Jordan B. Peterson,"[""Books"",""Business & Money"",""Job Hunting & Careers""]",Amazon,"Jordan Peterson's ""12 Rules for Life"" offers a collection of practical principles to help individuals navigate the complexities of life and find meaning amidst chaos by taking responsibility and confronting suffering.",12 Rules for Life: An Antidote to Chaos
